query_user_id,rank,candidate_user_id,score
user_0168255c,1,user_a01f16ac,0.862669
user_0168255c,2,user_d1d16d30,0.853749
user_0168255c,3,user_f654c33b,0.840343
user_0168255c,4,user_17607ebc,0.837098
user_0168255c,5,user_bf69de98,0.837005
user_0168255c,6,user_b16e0cf8,0.836959
user_0168255c,7,user_636ad58f,0.832060
user_0168255c,8,user_5881b259,0.827694
user_0168255c,9,user_5c09bb3d,0.826487
user_0168255c,10,user_bbe73426,0.820208
user_0168255c,11,user_095ff43e,0.815525
user_0168255c,12,user_43a979d2,0.815139
user_0168255c,13,user_dd1d7b22,0.813403
user_0168255c,14,user_c39d41d7,0.812817
user_0168255c,15,user_02d03e8a,0.810573
user_02016939,1,user_02016939,0.879167
user_02016939,2,user_70bbda36,0.865176
user_02016939,3,user_6deada35,0.862696
user_02016939,4,user_586752e4,0.832362
user_02016939,5,user_e696f3ae,0.830556
user_02016939,6,user_6169d3b8,0.821840
user_02016939,7,user_8713f22a,0.819121
user_02016939,8,user_147d1bbb,0.818883
user_02016939,9,user_7b5f54c0,0.817792
user_02016939,10,user_54c1ebee,0.817771
user_02016939,11,user_25798310,0.815695
user_02016939,12,user_9a307ebe,0.813250
user_02016939,13,user_c5f32c0d,0.811723
user_02016939,14,user_5526cbfd,0.810515
user_02016939,15,user_ed1aaed8,0.809685
user_0285dee3,1,user_d70942c1,0.834367
user_0285dee3,2,user_0669bdf6,0.824240
user_0285dee3,3,user_5349c6cf,0.819490
user_0285dee3,4,user_bd05225b,0.807232
user_0285dee3,5,user_a1b097c2,0.800346
user_0285dee3,6,user_df8dc9bb,0.800059
user_0285dee3,7,user_5ac1a174,0.800044
user_0285dee3,8,user_8d22714e,0.797197
user_0285dee3,9,user_29cd4556,0.796190
user_0285dee3,10,user_5d35f631,0.795949
user_0285dee3,11,user_a75b4d6e,0.795811
user_0285dee3,12,user_7fd91653,0.792993
user_0285dee3,13,user_954805d7,0.790191
user_0285dee3,14,user_50e2a836,0.785259
user_0285dee3,15,user_79f04645,0.783227
user_02d03e8a,1,user_2e05a7a0,0.777081
user_02d03e8a,2,user_41d0c897,0.774080
user_02d03e8a,3,user_6fc85c06,0.769822
user_02d03e8a,4,user_2dd5b531,0.769322
user_02d03e8a,5,user_9bee2a7c,0.767612
user_02d03e8a,6,user_9571d0d5,0.762494
user_02d03e8a,7,user_cf393213,0.761221
