Lives in a major Australian city, specifically Melbourne,
Resident of a major Northeastern United States city (likely New York),
Resident of a major Texas city,
Resident of a major Southeastern US city,
Resident of a major Western US city (likely Los Angeles or San Francisco),
Resident of a major Victorian city (likely Melbourne),
Resident of a major Massachusetts region (Western Massachusetts),
Resident of a major UK city (likely London),
Resident of a major Scottish city,
Resident of a major Northern English city,
Resident of a major city in the Northeastern United States,
Resident of a major city in the Southeast,
Resident of a major city in the West Coast,
Resident of a major city on the East Coast,
Resident of a major city in Victoria, Australia,
Resident of a major city in the UK,
Resident of a major city in the US,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major city in the US Midwest,
Resident of a major city in the US South,
Resident of a major city in the US Northeast,
Resident of a major city in the US Southeast,
Resident of a major city in the US West,
Resident of a major
