query_user_id,rank,candidate_user_id,score
user_0168255c,1,user_8f8346ad,0.858232
user_0168255c,2,user_adab54a0,0.851512
user_0168255c,3,user_45926b89,0.841422
user_0168255c,4,user_fde2d265,0.839169
user_0168255c,5,user_e1730a9c,0.832244
user_0168255c,6,user_2dd5b531,0.826692
user_0168255c,7,user_15179955,0.824054
user_0168255c,8,user_94f185bc,0.823469
user_0168255c,9,user_02d03e8a,0.822679
user_0168255c,10,user_ec574395,0.817864
user_0168255c,11,user_b49274ca,0.817313
user_0168255c,12,user_b23aa915,0.816333
user_0168255c,13,user_111cfe7d,0.816013
user_0168255c,14,user_7924afc9,0.814842
user_0168255c,15,user_80dc757f,0.813405
user_02016939,1,user_02016939,0.720506
user_02016939,2,user_2f4cc646,0.700889
user_02016939,3,user_7b5f54c0,0.693541
user_02016939,4,user_ed1aaed8,0.690369
user_02016939,5,user_ac6d6bff,0.687383
user_02016939,6,user_3e284ba5,0.685754
user_02016939,7,user_da51dede,0.673541
user_02016939,8,user_ef05ad51,0.671151
user_02016939,9,user_07cb458d,0.668330
user_02016939,10,user_70bbda36,0.664798
user_02016939,11,user_e0c65725,0.661384
user_02016939,12,user_25652863,0.660809
user_02016939,13,user_fba6bcd4,0.659387
user_02016939,14,user_25798310,0.659122
user_02016939,15,user_aabd2642,0.654644
user_0285dee3,1,user_1cbb30b1,0.709883
user_0285dee3,2,user_f0b144fc,0.673606
user_0285dee3,3,user_0285dee3,0.658968
user_0285dee3,4,user_a8dc91a3,0.657785
user_0285dee3,5,user_94f185bc,0.657446
user_0285dee3,6,user_f51339f8,0.642567
user_0285dee3,7,user_0521a7ac,0.640447
user_0285dee3,8,user_5881b259,0.634821
user_0285dee3,9,user_56909460,0.632635
user_0285dee3,10,user_9600e8bf,0.632257
user_0285dee3,11,user_380ddd3f,0.630379
user_0285dee3,12,user_02d03e8a,0.630130
user_0285dee3,13,user_e802076d,0.630096
user_0285dee3,14,user_5349c6cf,0.628458
user_0285dee3,15,user_30802254,0.626184
user_02d03e8a,1,user_96d9cb9a,0.774804
user_02d03e8a,2,user_6fc85c06,0.762814
user_02d03e8a,3,user_2cb4b018,0.744982
user_02d03e8a,4,user_7c8639cd,0.739610
user_02d03e8a,5,user_ee8d5ec5,0.738833
user_02d03e8a,6,user_07ec3726,0.737751
user_02d03e8a,7,user_f51339f8,0.727878
user_02d03e8a,8,user_caa6a7b6,0.726967
user_02d03e8a,9,user_f930e37f,0.725985
user_02d03e8a,10,user_2e05a7a0,0.725751
user_02d03e8a,11,user_6fbf6191,0.718070
user_02d03e8a,12,user_1b7f8c56,0.718052
user_02d03e8a,13,user_cdd86523,0.717029
user_02d03e8a,14,user_c8f82360,0.713275
user_02d03e8a,15,user_c06d9b71,0.712557
user_02d8a1f8,1,user_afff552a,0.773485
user_02d8a1f8,2,user_53325367,0.708663
user_02d8a1f8,3,user_30802254,0.707991
user_02d8a1f8,4,user_aa2fbe83,0.690860
user_02d8a1f8,5,user_5c09bb3d,0.682898
user_02d8a1f8,6,user_b325310b,0.681593
user_02d8a1f8,7,user_869fcb2b,0.679243
user_02d8a1f8,8,user_a151ddab,0.678543
user_02d8a1f8,9,user_1cbb30b1,0.676755
user_02d8a1f8,10,user_b16e0cf8,0.676201
user_02d8a1f8,11,user_886f7373,0.674341
user_02d8a1f8,12,user_aa31484a,0.673791
user_02d8a1f8,13,user_b23aa915,0.672456
user_02d8a1f8,14,user_02d03e8a,0.671596
user_02d8a1f8,15,user_89e04335,0.671367
user_02fecea2,1,user_2cb4b018,0.808514
user_02fecea2,2,user_95d648bc,0.788548
user_02fecea2,3,user_940c7213,0.777771
user_02fecea2,4,user_ef05ad51,0.773115
user_02fecea2,5,user_1b7f8c56,0.770181
user_02fecea2,6,user_aa2fbe83,0.758063
user_02fecea2,7,user_9e39a95d,0.756572
user_02fecea2,8,user_8ac8f24f,0.751467
user_02fecea2,9,user_02fecea2,0.751109
user_02fecea2,10,user_364bb955,0.750007
user_02fecea2,11,user_aabd2642,0.748186
user_02fecea2,12,user_500badda,0.737329
user_02fecea2,13,user_d3663143,0.733602
user_02fecea2,14,user_afff552a,0.728924
user_02fecea2,15,user_b325310b,0.727944
user_03410579,1,user_683369b1,0.825887
user_03410579,2,user_19622b77,0.797377
user_03410579,3,user_fa69a385,0.709208
user_03410579,4,user_52f895f1,0.702385
user_03410579,5,user_0bd8ba7c,0.680933
user_03410579,6,user_c50a487d,0.674054
user_03410579,7,user_41b20ee4,0.668177
user_03410579,8,user_f14dc486,0.668076
user_03410579,9,user_66a7ce5a,0.667588
user_03410579,10,user_2142b6e1,0.666969
user_03410579,11,user_d2bd9832,0.663576
user_03410579,12,user_c903d3bb,0.661717
user_03410579,13,user_18522854,0.644945
user_03410579,14,user_815b7baf,0.644311
user_03410579,15,user_8006727d,0.642727
user_043ea160,1,user_ab86ab82,0.654874
user_043ea160,2,user_164fe4b8,0.629826
user_043ea160,3,user_c7beef01,0.628946
user_043ea160,4,user_4a57e449,0.627709
user_043ea160,5,user_ee923f9d,0.616665
user_043ea160,6,user_fe922ad0,0.610993
user_043ea160,7,user_338e1332,0.590781
user_043ea160,8,user_8006727d,0.589927
user_043ea160,9,user_32934d38,0.589449
