Lives in California, specifically mentions Texas and Panera Bread there,
Works in a profession involving a "day job" and has a wife,
Has a dog named Pepperoni and a pet named Prosciutto,
Frequent player of Animal Crossing: New Horizons (owns a Wii, builds horror scenes, uses magic bags of holding),
Deeply engaged with Japanese anime (Ainz Ooal Gown, Overlord, Re:Zero, JoJo's Bizarre Adventure, Cowboy Bebop, One Piece, Hamefura, Kakushigoto),
Strong interest in SCP Foundation lore and video games (Stardew Valley, Pokémon, Zelda, VRMMORPGs),
Frequent consumer of seafood (shrimp, escolar, fish),
Has a history of living near a meth lab,
Strongly critical of PETA and believes they are part of a conspiracy,
Supports Shia LeBeouf and Anthony Hopkins,
Mentions a sister named Lily and a friend named Bianca,
Has a "tsundere" personality in interactions,
Frequently uses internet slang and memes (Lewding Keions, PERISH, TWERK, BE BISEXUAL, EAT HOT CHIP, LIE),
Has a background in or interest in martial arts (mentions "LionXImpala water works", "Rambo"),
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
Has a history of being a "nerd" and "geek" in real life,
