Lives in Tennessee, specifically Knoxville,
University of Tennessee (Vol) fan,
Strong interest in college football (SEC, specifically Tennessee, Alabama, Auburn, Oklahoma),
Follows college baseball (Vols, MLB draft),
Follows college basketball (Vols, Tennessee),
Follows NASCAR (Bristol),
Follows SpaceX and space exploration,
Follows MLB (Dodgers, White Sox, Astros, Mets),
Follows NFL (Titans, Colts, Patriots, Bears, Chargers),
Follows Tennessee Volunteers basketball and baseball recruiting,
Follows Tennessee Volunteers football recruiting and coaching changes,
Follows Tennessee Volunteers baseball players (Garrett Crochet, Zack Daniels, Kody Davidson),
Follows Tennessee Volunteers football players (Kyler Murray, Jauan Jennings, Tee Hodge, Will McBride),
Follows Tennessee Volunteers basketball players (Lamonte Turner, Jalen Tabor),
Follows Tennessee Volunteers football coaches (Hugh Freeze, Rick Barnes, Marcus Freeman, Josh Heupel),
Follows Tennessee Volunteers football games and highlights,
Follows Tennessee Volunteers baseball games and highlights,
Follows Tennessee Volunteers basketball games and highlights,
Follows Tennessee Volunteers football recruiting classes,
Follows Tennessee Volunteers football and basketball schedules,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers football and basketball games,
Follows Tennessee Volunteers football and basketball highlights,
Follows Tennessee Volunteers football and basketball news,
Follows Tennessee Volunteers football and basketball transfers,
Follows Tennessee Volunteers football and basketball players,
Follows Tennessee Volunteers football and basketball coaches,
Follows Tennessee Volunteers
