Lives in Houston, Texas, specifically Baytown and the Smart Financial Center area,
Works in a large industrial or working city environment,
Identifies as Asian,
Strongly conservative political views, supports Trump, opposes Democrats/Communism,
Supports Houston Astros and New England Patriots,
Frequent attendee of EDM festivals (Ultra, Spring Awakening, Lolla) and pool parties in Las Vegas (Wet Republic, Encore, Marquee),
Frequent attendee of DJ sets by Porter Robinson, Maceo Plex, and Illenium,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Hornets/Rockets games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games,
Frequent attendee of New Orleans Saints games
