Lives in Vancouver, British Columbia, Canada
Vancouver Canucks fan
NHL hockey enthusiast with 20+ years of following
Deep knowledge of Soviet and Czech hockey history (Tarasov, Hasek, Larionov, Kharlamov)
Strong belief that KHL and SHL achievements should not count for Hall of Fame
Supports Elias Pettersson as elite player
Supports Marc-Andre Fleury for Hall of Fame
Supports Pavel Bure for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Yakushev for Hall of Fame
Supports Boris Mikhailov for Hall of Fame
Supports Hasek, Roy, Plante, Sawchuk, Hall, Brodeur, Dryden for top 7 Hall of Fame
Supports Doug Gilmour for Hall of Fame
Supports Ray Bourque for Hall of Fame
Supports Patrick Roy for Hall of Fame
Supports Luc Robitaille, Mario Lemieux, Maurice Richard for Hall of Fame
Supports Bobby Clarke for Hall of Fame
Supports Bobby Orr for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Gordie Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
Supports Dave Keon for Hall of Fame
Supports Mark Howe for Hall of Fame
Supports Bobby Hull for Hall of Fame
