Lives in Toronto, Ontario, Canada
Works in the field of pharmacology
Supports the Toronto Raptors and Kyle Lowry
Supports the Chicago Bulls and Demar Derozan
Supports Kawhi Leonard and the San Antonio Spurs
Follows NBA basketball analysis and player statistics
Enjoys hip hop music, specifically artists like Jay-Z, Kendrick Lamar, Rick Ross, and SZA
Follows the history and business of hip hop
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows the history and business of the NBA
Follows
