Lives in Raleigh or Cary, North Carolina,
NC State University alum or fan,
Charlotte Hornets fan,
Detroit Lions fan,
Aerospace engineer,
Supports Matt Patricia,
Supports Ron Rivera,
Supports Daryl Morey,
Supports Tepper,
Supports Wilks,
Supports Hurney,
Supports Hurn 2.0,
Supports Cam Newton,
Supports Jameis Winston,
Supports Ryan Kalil,
Supports Donte Jackson,
Supports Ian Thomas,
Supports Thad Moss,
Supports Randy Moss,
Supports Drew Brees,
Supports Sean Payton,
Supports Michael Thomas,
Supports Henry,
Supports Adrian Peterson,
Supports Trevor Lawrence,
Supports Josh Jackson,
Supports TJ Warren,
Supports Reggie Jackson,
Supports Dennis Smith Jr,
Supports Coby White,
Supports Miles Bridges,
Supports Malik Monk,
Supports Markell Johnson,
Supports Braxton Berrios,
Supports Keldon Johnson,
Supports Darius Bazley,
Supports Kevin Porter Jr,
Supports Bol Bol,
Supports Zion Williamson,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jaylen Tatum,
Supports Jayson Tatum,
Supports Jaylen
