Lives in California, specifically mentions Arizona as a comparison for freedom;
Mechanical engineering degree with 2 years of combined experience in solar manufacturing and telecom field engineering;
29 years old;
MMA fighter and gym-goer;
Strongly pro-gun rights, specifically regarding concealed carry and gun safety education;
Anti-piracy and anti-union stance;
Frequent consumer of Marvel Cinematic Universe, Transformers, and Star Wars media;
Critical of Michael Bay and Michael Bay's directing style;
Supports Republican political views, specifically regarding gun control and immigration;
Agnostic, formerly militant atheist;
Volunteer as a tribute in Hunger Games fanfiction;
Interests in adult film industry and specific fetishes (large breasts, Asian women);
Uses RemindMe bot for movie release dates and plot hole discussions;
Frequent commenter on r/movies and r/guns;
Has a sister named Sophia who was in prison;
Has a grandmother who was hospitalized;
Has a roommate who was a "spirit animal" for telling girls to leave;
Has a brother who died in a plane crash;
Has a friend named Jenna;
Has a girlfriend named Tessa Fowler;
Has a son named Adonis;
Has a brother named Matthew M;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named Rockell Starbux;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx;
Has a brother named Rockell Starbux;
Has a sister named LaTaya Roxx
