query_user_id,rank,candidate_user_id,score
user_0168255c,1,user_b49274ca,0.847604
user_0168255c,2,user_4db0d490,0.787412
user_0168255c,3,user_636ad58f,0.784222
user_0168255c,4,user_fde2d265,0.783624
user_0168255c,5,user_f654c33b,0.781344
user_0168255c,6,user_a743aff9,0.778031
user_0168255c,7,user_a1aa757b,0.776186
user_0168255c,8,user_5881b259,0.770263
user_0168255c,9,user_15179955,0.768025
user_0168255c,10,user_e1730a9c,0.765562
user_0168255c,11,user_30802254,0.765244
user_0168255c,12,user_a8c2208d,0.763868
user_0168255c,13,user_d1d16d30,0.763021
user_0168255c,14,user_9600e8bf,0.761129
user_0168255c,15,user_69df6330,0.759745
user_02016939,1,user_02016939,0.779528
user_02016939,2,user_ac6d6bff,0.767059
user_02016939,3,user_930dc61d,0.758957
user_02016939,4,user_6ae9ce92,0.731266
user_02016939,5,user_3e284ba5,0.726716
user_02016939,6,user_70bbda36,0.725708
user_02016939,7,user_d9b8914f,0.721182
user_02016939,8,user_ba085464,0.720287
user_02016939,9,user_ded778b8,0.717994
user_02016939,10,user_baeb91b3,0.709921
user_02016939,11,user_1f09455f,0.707148
user_02016939,12,user_5526cbfd,0.699326
user_02016939,13,user_7b5f54c0,0.699186
user_02016939,14,user_ed1aaed8,0.694600
user_02016939,15,user_70580e9a,0.693345
user_0285dee3,1,user_5d35f631,0.741369
user_0285dee3,2,user_b2dd04c8,0.690209
user_0285dee3,3,user_c4b781ce,0.688355
user_0285dee3,4,user_380ddd3f,0.650043
user_0285dee3,5,user_756e2f00,0.647107
user_0285dee3,6,user_56909460,0.639452
user_0285dee3,7,user_69a4dd06,0.624442
user_0285dee3,8,user_0285dee3,0.619553
user_0285dee3,9,user_0dfb7397,0.614328
user_0285dee3,10,user_7d6962d9,0.608440
user_0285dee3,11,user_a8dc91a3,0.595246
user_0285dee3,12,user_650da71b,0.594836
user_0285dee3,13,user_49b1ac46,0.580523
user_0285dee3,14,user_0f006eec,0.580359
user_0285dee3,15,user_79a1811b,0.573976
user_02d03e8a,1,user_02d03e8a,0.759753
user_02d03e8a,2,user_6fc85c06,0.743067
user_02d03e8a,3,user_c06d9b71,0.743056
user_02d03e8a,4,user_906e2423,0.740699
user_02d03e8a,5,user_433bdef0,0.738331
user_02d03e8a,6,user_5c82df31,0.736620
user_02d03e8a,7,user_d96972e5,0.734664
