query_user_id,rank,candidate_user_id,score
user_0168255c,1,user_c35d6565,0.791064
user_0168255c,2,user_d6175d39,0.790998
user_0168255c,3,user_07cb458d,0.779029
user_0168255c,4,user_bdcc6e7d,0.771423
user_0168255c,5,user_9dda4af9,0.763263
user_0168255c,6,user_56e6d0cd,0.762004
user_0168255c,7,user_8663226a,0.760957
user_0168255c,8,user_3f798a8b,0.760483
user_0168255c,9,user_4db0d490,0.758482
user_0168255c,10,user_38f4dfac,0.747519
user_0168255c,11,user_ca6074df,0.743588
user_0168255c,12,user_f030b951,0.740226
user_0168255c,13,user_657c72ca,0.739810
user_0168255c,14,user_d036c911,0.739736
user_0168255c,15,user_9d65649f,0.735792
user_02016939,1,user_74cfb8ef,0.844103
user_02016939,2,user_7b5f54c0,0.840124
user_02016939,3,user_aabd2642,0.830556
user_02016939,4,user_70bbda36,0.826765
user_02016939,5,user_2f4cc646,0.826239
user_02016939,6,user_476670f9,0.824176
user_02016939,7,user_e2e59795,0.812647
user_02016939,8,user_5526cbfd,0.812599
user_02016939,9,user_2c69b83e,0.810934
user_02016939,10,user_58bfeaad,0.808015
user_02016939,11,user_4bd9303b,0.804679
user_02016939,12,user_7de6f343,0.803687
user_02016939,13,user_54c1ebee,0.802276
user_02016939,14,user_25798310,0.801800
user_02016939,15,user_166a3647,0.798910
user_0285dee3,1,user_d70942c1,0.801144
user_0285dee3,2,user_5d35f631,0.786790
user_0285dee3,3,user_5349c6cf,0.754681
user_0285dee3,4,user_954805d7,0.749008
user_0285dee3,5,user_5881b259,0.742551
user_0285dee3,6,user_bbcbf015,0.736283
user_0285dee3,7,user_a75b4d6e,0.736252
user_0285dee3,8,user_a1b097c2,0.735631
user_0285dee3,9,user_14a2d3c6,0.733253
user_0285dee3,10,user_5ac1a174,0.732646
user_0285dee3,11,user_f654c33b,0.732555
user_0285dee3,12,user_29cd4556,0.731040
user_0285dee3,13,user_6bf0e007,0.730251
user_0285dee3,14,user_ec574395,0.730022
user_0285dee3,15,user_d1d16d30,0.729719
user_02d03e8a,1,user_2e05a7a0,0.785978
user_02d03e8a,2,user_4a57e449,0.756538
user_02d03e8a,3,user_07ec3726,0.744555
user_02d03e8a,4,user_8006727d,0.739940
user_02d03e8a,5,user_9bee2a7c,0.736980
user_02d03e8a,6,user_ab86ab82,0.727063
user_02d03e8a,7,user_ee8d5ec5,0.724161
user_02d03e8a,8,user_9571d0d5,0.718042
user_02d03e8a,9,user_3f2894b5,0.714401
user_02d03e8a,10,user_5159d3a1,0.698653
user_02d03e8a,11,user_126670d7,0.697481
user_02d03e8a,12,user_74d27419,0.697037
user_02d03e8a,13,user_ba4a78fc,0.696365
user_02d03e8a,14,user_96d9cb9a,0.694685
user_02d03e8a,15,user_67acd9b1,0.694360
user_02d8a1f8,1,user_9dda4af9,0.824096
user_02d8a1f8,2,user_c35d6565,0.820126
user_02d8a1f8,3,user_5881b259,0.819586
user_02d8a1f8,4,user_36d44add,0.816861
user_02d8a1f8,5,user_7aa3746b,0.814005
user_02d8a1f8,6,user_c39d41d7,0.807437
user_02d8a1f8,7,user_e6057285,0.795527
user_02d8a1f8,8,user_ef954c6e,0.792212
user_02d8a1f8,9,user_b16e0cf8,0.791813
user_02d8a1f8,10,user_dae4304f,0.787728
user_02d8a1f8,11,user_fba6bcd4,0.786342
user_02d8a1f8,12,user_54c1ebee,0.786093
user_02d8a1f8,13,user_adab54a0,0.785741
user_02d8a1f8,14,user_e5a6abbe,0.784327
user_02d8a1f8,15,user_f654c33b,0.784182
user_02fecea2,1,user_66772d98,0.738376
user_02fecea2,2,user_7b5f54c0,0.735165
user_02fecea2,3,user_81a80789,0.726460
user_02fecea2,4,user_9600e8bf,0.718833
user_02fecea2,5,user_a7b901f2,0.718104
user_02fecea2,6,user_364bb955,0.713352
user_02fecea2,7,user_d4c7b4c0,0.713327
user_02fecea2,8,user_b0129d9e,0.710000
user_02fecea2,9,user_aabd2642,0.708224
user_02fecea2,10,user_cbabbcee,0.707532
user_02fecea2,11,user_54c1ebee,0.699854
user_02fecea2,12,user_f51339f8,0.697343
user_02fecea2,13,user_acd6ddfb,0.694353
user_02fecea2,14,user_70bbda36,0.684471
user_02fecea2,15,user_d50d7985,0.681118
user_03410579,1,user_364bb955,0.822483
user_03410579,2,user_03410579,0.820686
