Lives in California, specifically mentions California and California law;
Military aviation enthusiast with specific knowledge of F-18 Hornets, CVNs, Hornet variants, and F/A-18s;
Strong MAGA supporter and Trump 2024 candidate;
Anti-socialist, anti-communist, and anti-Marxist;
Anti-abortion and pro-life, specifically opposes abortion in the womb;
Christian, specifically identifies as a Christian, references Christ, God, and biblical scripture;
Anti-liberal, anti-democrat, and anti-MSM;
Anti-Muslim and anti-Islam, specifically mentions "Muslims flood the betrayal" and "Islam be a religion of peace looks like an absolute fool";
Anti-LGBTQ+ and anti-transgender, specifically mentions "transgenders racing in women's competition";
Anti-feminist and anti-feminism, specifically mentions "extremist feminist cultural marxist";
Anti-antifa and anti-ISIS;
Anti-planned parenthood and anti-abortion;
Anti-secular and anti-atheist;
Anti-Hillary Clinton and anti-Obama;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-Clinton;
Anti-Clinton and anti-
