Lives in Galway, Ireland,
Irish nationality,
Attends Penn State University,
Works in finance or trading (forex),
Frequent New England Patriots fan,
Supports Tom Brady and Bill Belichick,
Follows Liverpool FC,
Follows Cincinnati Bengals,
Follows New York Jets,
Follows New York Giants,
Follows New York Yankees,
Follows New York Knicks,
Follows New York Rangers,
Follows New York Islanders,
Follows New York Mets,
Follows New York Devils,
Follows New York Islanders,
Follows New York Rangers,
Follows New York Knicks,
Follows New York Jets,
Follows New England Patriots,
Follows New York Giants,
Follows New York Jets,
Follows New York Knicks,
Follows New York Rangers,
Follows New York Islanders,
Follows New York Mets,
Follows New York Devils,
Follows New York Islanders,
Follows New York Rangers,
Follows New York Knicks,
Follows New York Jets,
Follows New England Patriots,
Follows New York Giants,
Follows New York Jets,
Follows New York Knicks,
Follows New York Rangers,
Follows New York Islanders,
Follows New York Mets,
Follows New York Devils,
Follows New York Islanders,
Follows New York Rangers,
Follows New York Knicks,
Follows New York Jets,
Follows New England Patriots,
Follows New York Giants,
Follows New York Jets,
Follows New York Knicks,
Follows New York Rangers,
Follows New York Islanders,
Follows New York Mets,
Follows New York Devils,
Follows New York Islanders,
Follows New York Rangers,
Follows New York Knicks,
Follows New York Jets,
Follows New England Patriots,
Follows New York Giants,
Follows New York Jets,
Follows New York Knicks,
Follows New York Rangers,
Follows New York Islanders,
Follows New York Mets,
Follows New York Devils,
Follows New York Islanders,
Follows New York Rangers,
Follows New York Knicks,
Follows New York Jets,
Follows New England Patriots,
Follows New York Giants,
Follows New York Jets,
Follows New York Knicks,
Follows New York Rangers,
Follows New York Islanders,
Follows New York Mets,
Follows New York Devils,
Follows New York Islanders,
Follows New York Rangers,
Follows New York Knicks,
Follows New York Jets,
Follows New England Patriots,
Follows New York Giants,
Follows New York Jets,
Follows New York Knicks,
Follows New York Rangers,
Follows New York Islanders,
Follows New York Mets,
Follows New York Devils,
Follows New York Islanders,
Follows New York Rangers,
Follows New York Knicks,
Follows New York Jets,
Follows New England Patriots,
Follows New York Giants,
Follows New York Jets,
Follows New York Knicks,
Follows New York Rangers,
Follows New York Islanders,
Follows New York Mets,
Follows New York Devils,
Follows New York Islanders,
Follows New York Rangers,
Follows New York Knicks,
Follows New York Jets,
Follows New England Patriots,
Follows New York Giants,
Follows New York Jets,
Follows New York Knicks,
Follows New York Rangers,
Follows New York Islanders,
Follows New York Mets,
Follows New York Devils,
Follows New York Islanders,
Follows New York Rangers,
Follows New York Knicks,
Follows New York Jets,
Follows New England Patriots,
Follows New York Giants,
Follows New York Jets,
Follows New York Knicks,
Follows New York Rangers,
Follows New York Islanders,
Follows New York Mets,
Follows New York Devils,
Follows New York Islanders,
Follows New York Rangers,
Follows New York Knicks,
Follows New York Jets,
Follows New England Patriots,
Follows New York Giants,
Follows New York Jets,
Follows New York Knicks,
Follows New York Rangers,
Follows New York Islanders,
Follows New York Mets,
Follows New York Devils,
Follows New York Islanders,
Follows New York Rangers,
Follows New York Knicks,
Follows New York Jets,
Follows New England Patriots,
Follows New York Giants,
Follows New York Jets,
Follows New York Knicks,
Follows New York Rangers,
Follows New York
