query_user_id,rank,candidate_user_id,score
user_0168255c,1,user_8f8346ad,0.844422
user_0168255c,2,user_f43d6008,0.827846
user_0168255c,3,user_adab54a0,0.819065
user_0168255c,4,user_b49274ca,0.812784
user_0168255c,5,user_ec574395,0.812487
user_0168255c,6,user_5d1b0daf,0.804954
user_0168255c,7,user_b6d05d1d,0.790578
user_0168255c,8,user_2dd5b531,0.785076
user_0168255c,9,user_4db0d490,0.770985
user_0168255c,10,user_f654c33b,0.768505
user_0168255c,11,user_c34e791e,0.759203
user_0168255c,12,user_94f185bc,0.759110
user_0168255c,13,user_45926b89,0.757570
user_0168255c,14,user_a8dc91a3,0.754390
user_0168255c,15,user_126670d7,0.753754
user_02016939,1,user_2f4cc646,0.697835
user_02016939,2,user_e0c65725,0.657378
user_02016939,3,user_7b5f54c0,0.632143
user_02016939,4,user_3e284ba5,0.600853
user_02016939,5,user_e8613813,0.599336
user_02016939,6,user_8fb63eca,0.592837
user_02016939,7,user_25798310,0.586171
user_02016939,8,user_ef05ad51,0.584885
user_02016939,9,user_81a80789,0.582542
user_02016939,10,user_0b1b1d1c,0.580348
user_02016939,11,user_a2825b06,0.579059
user_02016939,12,user_da51dede,0.577737
user_02016939,13,user_1246b252,0.575603
user_02016939,14,user_476670f9,0.575382
user_02016939,15,user_89571ce8,0.574705
user_0285dee3,1,user_d70942c1,0.854559
user_0285dee3,2,user_0669bdf6,0.819721
user_0285dee3,3,user_6bf0e007,0.818894
user_0285dee3,4,user_79f04645,0.816898
user_0285dee3,5,user_ec574395,0.815069
user_0285dee3,6,user_29cd4556,0.813361
user_0285dee3,7,user_e8a7be73,0.811684
user_0285dee3,8,user_69a4dd06,0.808544
user_0285dee3,9,user_df8dc9bb,0.806869
user_0285dee3,10,user_8d22714e,0.803015
user_0285dee3,11,user_380ddd3f,0.800711
user_0285dee3,12,user_5c5a0b40,0.800289
user_0285dee3,13,user_a8dc91a3,0.794015
user_0285dee3,14,user_a75b4d6e,0.792476
user_0285dee3,15,user_a4a77a7d,0.792427
user_02d03e8a,1,user_2e05a7a0,0.808566
user_02d03e8a,2,user_96d9cb9a,0.761283
user_02d03e8a,3,user_ee8d5ec5,0.755944
user_02d03e8a,4,user_9bee2a7c,0.752945
user_02d03e8a,5,user_906e2423,0.743246
user_02d03e8a,6,user_8be3f554,0.738759
user_02d03e8a,7,user_259776c7,0.735097
user_02d03e8a,8,user_07ec3726,0.733756
user_02d03e8a,9,user_ab86ab82,0.732710
user_02d03e8a,10,user_6fc85c06,0.729127
user_02d03e8a,11,user_8f39f021,0.724880
user_02d03e8a,12,user_6fbf6191,0.724153
