- Lives in Toronto, Ontario, Canada
- Former college student who dropped out
- Works in a professional sports team front office or management role
- Plays basketball at a high positional level (patellar tendinitis)
- Plays competitive basketball (Cambridge RTG, PL games)
- Plays video games including Fallout series, Oblivion, Skyrim, FIFA, NBA 2K, Overwatch, Cities Skylines, and Gears of War
- Strong interest in NBA history, specifically LeBron James, Stephen Curry, and the 2016 Warriors vs. Cavaliers series
- Strong interest in football (soccer), specifically Arsenal, Cambridge United, and Arsene Wenger
- Strong interest in American football, specifically the NFL, including the 2010-2011 season and the 2016 Warriors vs. Cavaliers series
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy and mechanics, including FIFA, NBA 2K, and Fallout
- Strong interest in video game strategy
