Lives in Gainesville, Florida (previously Michigan),
Works in healthcare/medical field (likely doctor or related),
Married to a woman,
Father died when user was 15,
Strongly identifies as a progressive/liberal Democrat,
Supports Bernie Sanders and criticizes Trump,
Supports universal healthcare and expanded higher education access,
Critical of NFL and Detroit Lions,
Frequent player of Fire Emblem games (specifically Fire Emblem Fates and Awakening),
Frequent player of Splatoon and Smash Bros,
Supports Pearl Jam,
Identifies as a gamer with specific disdain for "gamer" culture stereotypes,
Supports gun control and opposes gun manufacturers' lobbying,
Supports LGBTQ+ rights and opposes religious discrimination,
Supports Flint water crisis victims and criticizes Republican officials,
Supports the idea of a "Great Firewall" for privacy in Europe,
Has an autistic son,
Prefers turn-based strategy games over real-time action,
Uses specific gaming terminology (e.g., "laning," "synergy," "dodge," "buff"),
Frequently discusses political debates regarding healthcare, immigration, and gun control,
Has a background in or interest in law and legal systems,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
Supports the idea of a "Great Firewall" for privacy in Europe,
