Lives in Portland, Oregon (Columbia Gorge area),
Lives in San Jose, California (Oakland, Fremont, Los Gatos, Davis, CA),
Lives in Milwaukee, Wisconsin,
Lives in Taiwan,
Lives in Tokyo, Japan,
Lives in Mexico City,
Lives in Chicago, Illinois,
Lives in Los Angeles, California,
Lives in San Francisco, California,
Lives in Atlanta, Georgia,
Lives in Georgia,
Lives in Wisconsin,
Lives in Oregon,
Lives in California,
Lives in Taiwan,
Lives in Japan,
Lives in China,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives in the United States,
Lives
