- Lives in Hackensack, NJ
- Plays League of Legends (ADC role, specifically Ezreal and Markeloff)
- Plays Counter-Strike: Global Source
- Plays Dota 2
- Plays Overwatch
- Plays Hearthstone
- Plays LoL Esports (TSM, NME, C9, Fnatic)
- Plays NHL Esports (Oilers, Lightning, Predators)
- Plays Fantasy Hockey (NHL)
- Plays Fantasy Football (NFL)
- Plays Fantasy Baseball (MLB)
- Plays Fantasy Basketball (NBA)
- Plays Fantasy Soccer (Premier League)
- Plays Fantasy Rugby (Super Rugby)
- Plays Fantasy Cricket (IPL)
- Plays Fantasy Tennis (ATP)
- Plays Fantasy Golf (PGA)
- Plays Fantasy Motorsports (NASCAR)
- Plays Fantasy Motorsports (Formula 1)
- Plays Fantasy Motorsports (IndyCar)
- Plays Fantasy Motorsports (MotoGP)
- Plays Fantasy Motorsports (WRC)
- Plays Fantasy Motorsports (DTM)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motorsports (IMSA)
- Plays Fantasy Motorsports (WEC)
- Plays Fantasy Motors
