Lives in or near Philadelphia, Pennsylvania (specifically mentions Central West Virginia, Central Maryland, Northern Virginia, and Pittsburgh),
Works as a bouncer or referee (specifically at Cel Block/Levels and IM facility),
Attends summer sessions at a university in the Pittsburgh area (likely Duquesne University),
Identifies as a Sixers fan (Philadelphia 76ers) who supports the tanking strategy,
Identifies as an Eagles fan (Philadelphia Eagles) who supports the tanking strategy,
Identifies as a Flyers fan (Philadelphia Flyers) who supports the tanking strategy,
Strongly supports John Cena and Kevin Owens in WWE,
Supports the Philadelphia Phillies,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Penguins,
Supports the Pittsburgh Pirates,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
Supports the Pittsburgh Steelers,
