Lives in Texas, specifically Dallas or Houston,
Cowboys fan (Dallas Cowboys),
Patriots fan (New England Patriots),
Packers fan (Green Bay Packers),
Floyd Mayweather fan,
Andre Ward fan,
Bernie Sanders supporter,
Hip hop enthusiast (Drake, Waka Flocka, Pac, DMX, Gucci Mane),
Boxing enthusiast (heavyweight division),
NFL football enthusiast,
Halo and Street Fighter III: Third Strike player,
SpaceX follower,
Korean American or has Korean friends,
Bi or gay,
Catholic,
Black American,
Likes rap music,
Likes boxing,
Likes football,
Likes hip hop,
Likes Halo,
Likes Street Fighter III: Third Strike,
Likes SpaceX,
Likes Floyd Mayweather,
Likes Andre Ward,
Likes Bernie Sanders,
Likes Drake,
Likes Waka Flocka,
Likes Pac,
Likes DMX,
Likes Gucci Mane,
Likes boxing,
Likes heavyweight boxing,
Likes NFL football,
Likes Cowboys,
Likes Patriots,
Likes Packers,
Likes Falcons,
Likes Raiders,
Likes Chargers,
Likes Rams,
Likes Giants,
Likes Eagles,
Likes Lions,
Likes Steelers,
Likes 49ers,
Likes Bears,
Likes Vikings,
Likes Saints,
Likes Broncos,
Likes Chiefs,
Likes Bills,
Likes Jets,
Likes Ravens,
Likes Titans,
Likes Colts,
Likes Jaguars,
Likes Panthers,
Likes Buccaneers,
Likes Cardinals,
Likes Seahawks,
Likes Broncos,
Likes Raiders,
Likes Chargers,
Likes Rams,
Likes Giants,
Likes Eagles,
Likes Lions,
Likes Steelers,
Likes 49ers,
Likes Bears,
Likes Vikings,
Likes Saints,
Likes Broncos,
Likes Chiefs,
Likes Bills,
Likes Jets,
Likes Ravens,
Likes Titans,
Likes Colts,
Likes Jaguars,
Likes Panthers,
Likes Buccaneers,
Likes Cardinals,
Likes Seahawks,
Likes Cowboys,
Likes Patriots,
Likes Packers,
Likes Falcons,
Likes Raiders,
Likes Chargers,
Likes Rams,
Likes Giants,
Likes Eagles,
Likes Lions,
Likes Steelers,
Likes 49ers,
Likes Bears,
Likes Vikings,
Likes Saints,
Likes Broncos,
Likes Chiefs,
Likes Bills,
Likes Jets,
Likes Ravens,
Likes Titans,
Likes Colts,
Likes Jaguars,
Likes Panthers,
Likes Buccaneers,
Likes Cardinals,
Likes Seahawks,
Likes Cowboys,
Likes Patriots,
Likes Packers,
Likes Falcons,
Likes Raiders,
Likes Chargers,
Likes Rams,
Likes Giants,
Likes Eagles,
Likes Lions,
Likes Steelers,
Likes 49ers,
Likes Bears,
Likes Vikings,
Likes Saints,
Likes Broncos,
Likes Chiefs,
Likes Bills,
Likes Jets,
Likes Ravens,
Likes Titans,
Likes Colts,
Likes Jaguars,
Likes Panthers,
Likes Buccaneers,
Likes Cardinals,
Likes Seahawks,
Likes Cowboys,
Likes Patriots,
Likes Packers,
Likes Falcons,
Likes Raiders,
Likes Chargers,
Likes Rams,
Likes Giants,
Likes Eagles,
Likes Lions,
Likes Steelers,
Likes 49ers,
Likes Bears,
Likes Vikings,
Likes Saints,
Likes Broncos,
Likes Chiefs,
Likes Bills,
Likes Jets,
Likes Ravens,
Likes Titans,
Likes Colts,
Likes Jaguars,
Likes Panthers,
Likes Buccaneers,
Likes Cardinals,
Likes Seahawks,
Likes Cowboys,
Likes Patriots,
Likes Packers,
Likes Falcons,
Likes Raiders,
Likes Chargers,
Likes Rams,
Likes Giants,
Likes Eagles,
Likes Lions,
Likes Steelers,
Likes 49ers,
Likes Bears,
Likes Vikings,
Likes Saints,
Likes Broncos,
Likes Chiefs,
Likes Bills,
Likes Jets,
Likes Ravens,
Likes Titans,
Likes Colts,
Likes Jaguars,
Likes Panthers,
Likes Buccaneers,
Likes Cardinals,
Likes Seahawks,
Likes Cowboys,
Likes Patriots,
Likes Packers,
Likes Falcons,
Likes Raiders,
Likes Chargers,
Likes Rams,
Likes Giants,
Likes Eagles,
Likes Lions,
Likes Steelers,
Likes 49ers,
Likes Bears,
Likes Vikings,
Likes Saints,
Likes Broncos,
Likes Chiefs,
Likes Bills,
Likes Jets,
Likes Ravens,
Likes Titans,
Likes Colts,
Likes Jaguars,
Likes Panthers,
Likes Buccaneers,
Likes Cardinals,
Likes Seahawks,
Likes Cowboys,
Likes Patriots,
Likes Packers,
Likes Falcons,
Likes Raiders,
Likes Chargers,
Likes Rams,
Likes Giants,
Likes Eagles,
Likes
