Lives in Cleveland, Ohio (specifically Shaker Heights),
Cleveland Browns fan since 1993,
Cleveland Cavaliers fan,
Cleveland Indians (MLB) fan,
Cleveland Guardians fan,
Cleveland Browns GM/Coach (Ty Lue) critic,
Cleveland Browns QB (Johnny Manziel) critic,
Cleveland Browns QB (Baker Mayfield) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Jameis Winston) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
Cleveland Browns QB (Deshaun Watson) supporter,
C
