Lives in Houston, TX (specifically Westchase),
Works in surveying/landscaping (cubicle jockey),
Drinks Heineken and Shiner Bock beer,
Frequent Whole Foods shopper,
Owns a Ford F-150,
Rides a bicycle,
Supports Texas State Normal School,
Identifies as Irish,
Has a brother who plays football,
Listens to Carrie Underwood and Katy Perry,
Watches WWE wrestling,
Likes barleywine,
Has a 1987 car,
Lives in a house with a garage,
Has a girlfriend,
Has a youngest brother,
Has a 1956 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a 1987 car,
Has a
