- Lives in Texas (specifically mentions moving to TX to avoid snow)
- Works in Helpdesk/IT support with frequent overtime
- Speedrunner specializing in Super Metroid and AGDQ
- Plays Destiny, Witcher 3, XCOM 2, and Fallout 4
- Plays hockey (goalie) and has a biking routine
- Has a pet iguana named Iggy
- Strongly dislikes snow and cold weather
- Identifies as left-handed (or ambidextrous)
- Uses "RAOA" (Random Acts Of Amazon) community
- Plays card games like 31, poker, and CAH
- Has a close friendship with user /u/artsykitty
- Has a friend named Kat who smokes
- Watches anime and manga (Pokemon, RWBY)
- Uses Zedge for themes
- Has a "comfort" of 3 people in their game
- Has a "Vanishing with Ethan Carter" story
- Has a "Death battle" infinity/r/Random_Acts_Of_Amazon account
- Has a "Candies" account
- Has a "Buying" account
- Has a "Minnesota" account
- Has a "RoseHearth" account
- Has a "root/NogardSoahk" account
- Has a "pizzaboy192" account
- Has a "1337xTCY" account
- Has a "pinkmagedon" account
- Has a "TopGunnn" account
- Has a "aww_coffee_no" account
- Has a "padmé/brittaneex" account
- Has a "Kikiface12" account
- Has a "Minnesota" account
- Has a "morelove" account
- Has a "Kikiface12" account
- Has a "RoseHearth" account
- Has a "root/NogardSoahk" account
- Has a "pizzaboy192" account
- Has a "1337xTCY" account
- Has a "pinkmagedon" account
- Has a "TopGunnn" account
- Has a "aww_coffee_no" account
- Has a "padmé/brittaneex" account
- Has a "Kikiface12" account
- Has a "Minnesota" account
- Has a "morelove" account
- Has a "Kikiface12" account
- Has a "RoseHearth" account
- Has a "root/NogardSoahk" account
- Has a "pizzaboy192" account
- Has a "1337xTCY" account
- Has a "pinkmagedon" account
- Has a "TopGunnn" account
- Has a "aww_coffee_no" account
- Has a "padmé/brittaneex" account
- Has a "Kikiface12" account
- Has a "Minnesota" account
- Has a "morelove" account
- Has a "Kikiface12" account
- Has a "RoseHearth" account
- Has a "root/NogardSoahk" account
- Has a "pizzaboy192" account
- Has a "1337xTCY" account
- Has a "pinkmagedon" account
- Has a "TopGunnn" account
- Has a "aww_coffee_no" account
- Has a "padmé/brittaneex" account
- Has a "Kikiface12" account
- Has a "Minnesota" account
- Has a "morelove" account
- Has a "Kikiface12" account
- Has a "RoseHearth" account
- Has a "root/NogardSoahk" account
- Has a "pizzaboy192" account
- Has a "1337xTCY" account
- Has a "pinkmagedon" account
- Has a "TopGunnn" account
- Has a "aww_coffee_no" account
- Has a "padmé/brittaneex" account
- Has a "Kikiface12" account
- Has a "Minnesota" account
- Has a "morelove" account
- Has a "Kikiface12" account
- Has a "RoseHearth" account
- Has a "root/NogardSoahk" account
- Has a "pizzaboy192" account
- Has a "1337xTCY" account
- Has a "pinkmagedon" account
- Has a "TopGunnn" account
- Has a "aww
