Lives in Seattle, Washington (specifically Snoqualmie and Mid-Way Swap Meet),
Born in 1969 (Class of 1984),
Age 52,
Male,
Works in IT/Computer Science (experienced with 486DX, Solitaire, Android vs Apple),
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bartender,
Former Welder,
Former Photographer,
Former Bart
