Lives in or near Philadelphia, Pennsylvania (specifically mentions Gettysburg, Florence, and Pittsburgh),
Works in or attended a university in the Pittsburgh area (Duquesne University, Duquesne),
Former fraternity member (specifically mentions "Simple Jacks" and "Banners"),
Works as a bouncer or security guard (specifically at Cel Block/Levels),
Supports the Philadelphia 76ers (Hinkie era, Embiid, Okafor, Nerlens Noel) and Philadelphia Eagles,
Supports John Cena and WWE (specifically the Owens/Cena feud),
Supports the Minnesota Timberwolves and Cleveland Cavaliers,
Supports the Pittsburgh Steelers and Pittsburgh Penguins,
Supports the Pittsburgh Pirates and Pittsburgh Penguins,
Supports the Philadelphia Phillies and Philadelphia Flyers,
Supports the Philadelphia Union and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
Supports the Philadelphia 76ers and Philadelphia Eagles,
