Lives in Durham, NC (near Duke University and Southpoint),
Triathlete (Olympic and International level),
Keto diet practitioner,
Fellow of the American College of Sports Medicine (implied by "HCLF diet" and medical student context),
Computer Science/Software Engineering background (Fedora, RHEL, OpenStack, KVM, virtualization),
Panthers (Carolina Panthers) fan,
Seattle Seahawks fan,
Gaming enthusiast (Destiny, Arkham Knight, Fallout, Dragon Ball Z),
Biker (time trials, open water swimming),
Runs marathons and half marathons,
Has a daughter and a wife,
Attends church (mentions "Lord of Light", "Lord of governments"),
Political conservative (mentions "Trump", "Brexit", "Ohio", "first past the post"),
Attends AMC Southpoint cinema,
Uses DirecTV and TWC for internet/cable,
Has a pickup truck (rear-wheel drive),
Lives in a neighborhood with underground network lines,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has a home in Fayetteville, NC,
Has a home in Greensboro, NC,
Has a home in Charlotte, NC,
Has a home in Durham, NC,
Has a home in Raleigh, NC,
Has a home in Winston-Salem, NC,
Has
